NETWORK,STATION,STARTTIME,ENDTIME,LAT,LON,ELEVATION,CHANNELS
UU,IMU,2003-01-03T00:00:00,2004-04-04T00:00:00,38.6332,-113.158,1833,EHZ
UU,MSU,2003-01-01T00:00:00,2004-04-04T00:00:00,38.5123,-112.177,2105,EHZ
